Title,Release Date,Color/B&W,Genre,Language,Country,Rating,Lead Actor,Director Name,Lead Actor FB Likes,Cast FB Likes,Director FB Likes,Movie FB Likes,IMDb Score (1-10), Total Reviews ,Duration (min),Gross Revenue,Budget
Cleopatra,12/14/1963,Color,Biography,English,UK,Approved,Martin Landau,Joseph L. Mankiewicz,940,2957,311,0,7,72,251,57750000,31115000
From Russia with Love,11/24/1963,Color,Action,English,UK,Approved,Robert Shaw,Terence Young,559,1456,92,0,7.5,167,115,24800000,2000000
"It's a Mad, Mad, Mad, Mad World",11/27/1963,Color,Action,English,USA,Approved,Jonathan Winters,Stanley Kramer,924,4109,176,0,7.6,61,197,46300000,9400000
A Fistful of Dollars,1/13/1964,Color,Action,Italian,Italy,R,Clint Eastwood,Sergio Leone,16000,16534,0,0,8,122,99,3500000,200000
A Hard Day's Night,5/22/1964,Black and White,Comedy,English,UK,Approved,Paul McCartney,Richard Lester,785,2538,44,0,7.7,105,87,515005,560000
Goldfinger,5/29/1964,Color,Action,English,UK,Approved,Honor Blackman,Guy Hamilton,387,1198,82,0,7.8,164,110,51100000,3000000
Mary Poppins,3/21/1964,Color,Comedy,English,USA,Approved,Ed Wynn,Robert Stevenson,382,2045,55,0,7.8,145,139,102300000,6000000
My Fair Lady,7/15/1964,Color,Drama,English,USA,Approved,Jeremy Brett,George Cukor,453,1164,165,0,7.9,82,170,72000000,17000000
Nothing But a Man,4/9/1964,Black and White,Drama,English,USA,Not Rated,Yaphet Kotto,Michael Roemer,581,835,0,363,8.1,24,95,12438,160000
Doctor Zhivago,6/29/1965,Color,Drama,English,USA,PG-13,Julie Christie,David Lean,597,1966,767,7000,8,89,200,111722000,11000000
Major Dundee,11/25/1965,Color,Adventure,English,USA,Approved,James Coburn,Sam Peckinpah,773,2888,541,251,6.8,53,152,14873,3800000
The Greatest Story Ever Told,4/18/1965,Color,Biography,English,USA,G,Martin Landau,George Stevens,940,1934,126,1000,6.6,27,225,8000000,20000000
The Sound of Music,7/18/1965,Color,Biography,English,USA,G,Eleanor Parker,Robert Wise,354,1495,338,15000,8,119,174,163214286,8200000
Thunderball,4/28/1965,Color,Action,English,UK,Approved,Desmond Llewelyn,Terence Young,244,1164,92,0,7,129,130,63600000,9000000
"The Good, the Bad and the Ugly",6/25/1966,Color,Western,Italian,Italy,Approved,Clint Eastwood,Sergio Leone,16000,16089,0,20000,8.9,181,142,6100000,1200000
You Only Live Twice,2/23/1967,Color,Action,English,UK,Approved,Donald Pleasence,Lewis Gilbert,742,2127,43,0,6.9,130,117,43100000,9500000
2001: A Space Odyssey,7/12/1968,Color,Adventure,English,UK,G,Keir Dullea,Stanley Kubrick,273,727,0,24000,8.3,285,161,56715371,12000000
Oliver!,8/19/1968,Color,Drama,English,UK,G,Oliver Reed,Carol Reed,695,1593,82,0,7.5,56,153,16800000,10000000
Butch Cassidy and the Sundance Kid,11/25/1969,Color,Biography,English,USA,M,Katharine Ross,George Roy Hill,640,2169,131,0,8.1,130,110,102308900,6000000
Mississippi Mermaid,10/13/1969,Color,Crime,French,France,R,Catherine Deneuve,François Truffaut,963,1694,0,278,7.2,35,123,26893,1600000
On Her Majesty's Secret Service,1/30/1969,Color,Action,English,UK,M,Telly Savalas,Peter R. Hunt,803,1769,13,0,6.8,143,142,22800000,7000000
Beyond the Valley of the Dolls,4/16/1970,Color,Comedy,English,USA,X,Charles Napier,Russ Meyer,503,731,199,0,6.2,101,109,9000000,900000
Darling Lili,11/16/1970,Color,Comedy,English,USA,G,Rock Hudson,Blake Edwards,638,788,688,104,6.2,22,143,5000000,25000000
Tora! Tora! Tora!,6/23/1970,Color,Action,English,Japan,G,Joseph Cotten,Richard Fleischer,469,1548,130,0,7.5,79,160,14500000,25000000
Woodstock,8/25/1970,Color,Documentary,English,USA,R,Joe Cocker,Michael Wadleigh,262,778,14,0,8.1,53,215,13300000,600000
Diamonds Are Forever,9/3/1971,Color,Action,English,UK,GP,Desmond Llewelyn,Guy Hamilton,244,1105,82,0,6.7,120,120,43800000,7200000
Fiddler on the Roof,4/12/1971,Color,Drama,English,USA,G,Topol,Norman Jewison,402,934,278,0,8,66,181,50000000,9000000
Pink Narcissus,5/30/1971,Color,Drama,English,USA,Not Rated,Don Brooks,James Bidgood,0,0,0,85,6.7,8,65,8231,27000
Sweet Sweetback's Baadasssss Song,5/3/1971,Color,Crime,English,USA,R,John Amos,Melvin Van Peebles,982,1631,101,566,5.5,38,97,15180000,500000
Pink Flamingos,6/16/1972,Color,Comedy,English,USA,NC-17,Divine,John Waters,462,760,0,0,6.1,73,108,180483,10000
The Godfather,2/22/1972,Color,Crime,English,USA,R,Al Pacino,Francis Ford Coppola,14000,28122,0,43000,9.2,208,175,134821952,6000000
American Graffiti,6/13/1973,Color,Comedy,English,USA,PG,Harrison Ford,George Lucas,11000,14954,0,0,7.5,100,112,115000000,777000
Live and Let Die,8/9/1973,Color,Action,English,UK,PG,Yaphet Kotto,Guy Hamilton,581,1865,82,0,6.8,136,121,35400000,7000000
Mean Streets,10/30/1973,Color,Crime,English,USA,R,Robert De Niro,Martin Scorsese,22000,23737,17000,0,7.4,112,112,32645,500000
The Exorcist,11/18/1973,Color,Horror,English,USA,R,Ellen Burstyn,William Friedkin,1000,2466,607,18000,8,304,132,204565000,8000000
The Sting,9/4/1973,Color,Comedy,English,USA,PG,Eileen Brennan,George Roy Hill,1000,2387,131,0,8.3,119,129,159600000,5500000
Benji,8/21/1974,Color,Adventure,English,USA,G,Frances Bavier,Joe Camp,407,1090,24,816,6.1,5,86,39552600,500000
Blazing Saddles,3/1/1974,Color,Comedy,English,USA,R,Madeline Kahn,Mel Brooks,1000,4701,0,12000,7.8,121,93,119500000,2600000
The Godfather: Part II,4/13/1974,Color,Crime,English,USA,R,Robert De Niro,Francis Ford Coppola,22000,39960,0,14000,9,149,220,57300000,13000000
The Man with the Golden Gun,2/28/1974,Color,Action,English,UK,PG,Christopher Lee,Guy Hamilton,16000,17611,82,2000,6.8,118,125,21000000,13000000
The Texas Chain Saw Massacre,4/12/1974,Color,Horror,English,USA,R,Gunnar Hansen,Tobe Hooper,383,1094,365,0,7.5,277,88,30859000,83532
Young Frankenstein,6/17/1974,Black and White,Comedy,English,USA,PG,Madeline Kahn,Mel Brooks,1000,2703,0,14000,8,129,106,86300000,2800000
Jaws,2/16/1975,Color,Adventure,English,USA,PG,Roy Scheider,Steven Spielberg,813,2047,14000,21000,8,385,130,260000000,8000000
Monty Python and the Holy Grail,6/21/1975,Color,Adventure,English,UK,PG,Eric Idle,Terry Gilliam,795,2158,0,14000,8.3,131,91,1229197,229575
One Flew Over the Cuckoo's Nest,5/30/1975,Color,Drama,English,USA,R,Scatman Crothers,Milos Forman,888,2176,869,32000,8.7,149,133,112000000,4400000
Logan's Run,10/5/1976,Color,Action,English,USA,PG,Farrah Fawcett,Michael Anderson,1000,2951,23,0,6.8,112,119,25000000,9000000
Rocky,11/16/1976,Color,Drama,English,USA,PG,Sylvester Stallone,John G. Avildsen,13000,16094,80,0,8.1,141,145,117235247,960000
A Bridge Too Far,8/21/1977,Black and White,Drama,English,USA,PG,Ryan O'Neal,Richard Attenborough,385,669,0,0,7.4,56,175,50800000,26000000
Annie Hall,5/17/1977,Color,Comedy,English,USA,PG,Woody Allen,Woody Allen,11000,12691,11000,0,8.1,154,93,39200000,4000000
Close Encounters of the Third Kind,12/11/1977,Color,Drama,English,USA,PG,Bob Balaban,Steven Spielberg,559,1591,14000,0,7.7,171,135,128300000,19400870
Kingdom of the Spiders,1/2/1977,Color,Horror,English,USA,PG,Woody Strode,John 'Bud' Cardos,423,516,8,0,5.9,95,97,17000000,500000
March or Die,5/28/1977,Color,Adventure,English,UK,PG,Catherine Deneuve,Dick Richards,963,2209,6,122,6.3,6,107,1000000,9000000
Star Wars: Episode IV - A New Hope,2/7/1977,Color,Action,English,USA,PG,Harrison Ford,George Lucas,11000,13485,0,33000,8.7,282,125,460935665,11000000
The Spy Who Loved Me,8/1/1977,Color,Action,English,UK,PG,Caroline Munro,Lewis Gilbert,456,1326,43,0,7.1,112,123,46800000,14000000
Animal House,9/6/1978,Color,Comedy,English,USA,R,John Belushi,John Landis,1000,3468,644,0,7.6,94,109,141600000,3000000
Caravans,4/17/1978,Color,Action,English,Iran,PG,Christopher Lee,James Fargo,16000,17250,109,76,6.5,2,127,1000000,14000000
Grease,8/18/1978,Color,Musical,English,USA,PG-13,Olivia Newton-John,Randal Kleiser,1000,5127,116,13000,7.2,124,110,181360000,6000000
Halloween,8/27/1978,Color,Horror,English,USA,R,Jamie Lee Curtis,John Carpenter,2000,4400,0,12000,7.9,318,101,47000000,300000
Jaws 2,6/6/1978,Color,Adventure,English,USA,PG,Roy Scheider,Jeannot Szwarc,813,1520,82,0,5.7,75,131,102922376,20000000
Superman,5/10/1978,Color,Action,English,USA,PG,Marlon Brando,Richard Donner,10000,12940,503,0,7.3,169,188,134218018,55000000
The Wiz,7/17/1978,Color,Adventure,English,USA,G,Lena Horne,Sidney Lumet,738,1458,0,0,5.2,32,118,13000000,24000000
Alien,10/3/1979,Color,Horror,English,UK,R,Tom Skerritt,Ridley Scott,1000,2524,0,23000,8.5,392,116,78900000,11000000
Apocalypse Now,9/8/1979,Color,Drama,English,USA,R,Harrison Ford,Francis Ford Coppola,11000,25313,0,19000,8.5,261,289,78800000,31500000
Escape from Alcatraz,5/5/1979,Color,Biography,English,USA,PG,Clint Eastwood,Don Siegel,16000,17568,152,0,7.6,53,112,36500000,8000000
Moonraker,9/23/1979,Color,Action,English,UK,PG,Desmond Llewelyn,Lewis Gilbert,244,1008,43,0,6.3,121,126,62700000,34000000
Star Trek: The Motion Picture,11/2/1979,Color,Adventure,English,USA,PG,Leonard Nimoy,Robert Wise,12000,16007,338,0,6.4,134,143,82300000,35000000
The Rose,5/8/1979,Color,Drama,English,USA,R,David Keith,Mark Rydell,563,1097,43,1000,6.9,32,125,29200000,8500000
Airplane!,7/9/1980,Color,Comedy,English,USA,PG,Peter Graves,Jim Abrahams,628,2726,104,16000,7.8,134,88,83400000,3500000
Caddyshack,10/13/1980,Color,Comedy,English,USA,R,Bill Murray,Harold Ramis,13000,14921,11000,0,7.4,71,98,39800000,6000000
Can't Stop the Music,11/10/1980,Color,Biography,English,USA,PG,Steve Guttenberg,Nancy Walker,801,1462,42,1000,4.5,26,124,2000000,20000000
Dressed to Kill,6/16/1980,Color,Mystery,English,USA,X,Angie Dickinson,Brian De Palma,754,2442,0,0,7.1,121,104,31899000,6500000
Heaven's Gate,2/10/1980,Color,Adventure,English,USA,R,Jeff Bridges,Michael Cimino,12000,14255,517,1000,6.8,102,325,1500000,44000000
Ordinary People,2/21/1980,Color,Drama,English,USA,R,Adam Baldwin,Robert Redford,2000,5122,0,0,7.8,62,124,54800000,6000000
Private Benjamin,7/10/1980,Color,Comedy,English,USA,R,Eileen Brennan,Howard Zieff,1000,2419,6,855,6.1,25,109,69800000,10000000
Raging Bull,7/28/1980,Black and White,Biography,English,USA,R,Robert De Niro,Martin Scorsese,22000,23008,17000,0,8.3,151,121,45250,18000000
Raise the Titanic,9/16/1980,Color,Action,English,UK,PG,M. Emmet Walsh,Jerry Jameson,521,1883,5,328,4.7,32,119,7000000,36000000
Star Wars: Episode V - The Empire Strikes Back,4/20/1980,Color,Action,English,USA,PG,Harrison Ford,Irvin Kershner,11000,12643,883,17000,8.8,223,127,290158751,18000000
Superman II,10/13/1980,Color,Action,English,USA,PG,Margot Kidder,Richard Lester,593,2908,44,0,6.8,121,116,108200000,54000000
The Blues Brothers,8/17/1980,Color,Action,English,USA,R,John Belushi,John Landis,1000,2566,644,14000,7.9,125,148,54200000,27000000
The Fog,8/9/1980,Color,Fantasy,English,USA,R,Jamie Lee Curtis,John Carpenter,2000,4877,0,7000,6.8,212,89,21378000,1000000
Chariots of Fire,8/7/1981,Color,Biography,English,UK,PG,Alice Krige,Hugh Hudson,368,1651,46,0,7.2,90,125,58800000,5500000
Das Boot,7/3/1981,Color,Adventure,German,West Germany,R,Jürgen Prochnow,Wolfgang Petersen,362,469,249,11000,8.4,96,293,11433134,14000000
Dragonslayer,4/29/1981,Color,Action,English,USA,PG,Ian McDiarmid,Matthew Robbins,1000,1263,25,0,6.7,60,108,6000000,18000000
Escape from New York,9/28/1981,Color,Action,English,UK,R,Donald Pleasence,John Carpenter,742,2270,0,0,7.2,201,106,25244700,6000000
For Your Eyes Only,3/18/1981,Color,Action,English,UK,PG,Julian Glover,John Glen,844,2118,46,2000,6.8,112,127,62300000,28000000
Friday the 13th Part 2,1/9/1981,Color,Horror,English,USA,R,Betsy Palmer,Steve Miner,309,707,49,0,6.1,242,87,19100000,1250000
Mad Max 2: The Road Warrior,9/11/1981,Black and White,Action,English,Australia,R,Vernon Wells,George Miller,745,1396,750,0,7.6,177,87,9003011,2000000
Porky's,7/7/1981,Color,Comedy,English,Canada,R,Art Hindle,Bob Clark,110,582,84,0,6.2,75,94,105500000,4000000
Raiders of the Lost Ark,5/16/1981,Color,Action,English,USA,PG,Harrison Ford,Steven Spielberg,11000,12906,14000,16000,8.5,234,115,242374454,18000000
Roar,8/10/1981,Color,Adventure,English,USA,PG,Tippi Hedren,Noel Marshall,634,1262,4,0,6.4,50,102,2000000,17000000
Sphinx,5/13/1981,Color,Adventure,English,USA,PG,Frank Langella,Franklin J. Schaffner,902,2079,76,106,5.2,2,118,800000,14000000
Stripes,11/9/1981,Color,Action,English,USA,R,Bill Murray,Ivan Reitman,13000,27378,425,0,6.9,52,117,85300000,10000000
The Beyond,12/7/1981,Black and White,Horror,Italian,Italy,X,Catriona MacColl,Lucio Fulci,48,123,385,2000,6.9,203,82,126387,400000
The Howling,6/15/1981,Color,Horror,English,USA,R,Patrick Macnee,Joe Dante,1000,4438,287,0,6.6,161,91,17986000,1000000
The Legend of the Lone Ranger,1/28/1981,Color,Action,English,USA,PG,Jason Robards,William A. Fraker,372,927,28,346,5,25,98,8000000,18000000
Time Bandits,4/4/1981,Color,Adventure,English,UK,PG,Shelley Duvall,Terry Gilliam,629,2730,0,0,7,139,103,42365600,5000000
Under the Rainbow,7/9/1981,Color,Comedy,English,USA,PG,Mako,Steve Rash,691,1761,15,501,5.4,13,98,8500000,20000000
Blade Runner,12/9/1982,Color,Sci-Fi,English,USA,R,Harrison Ford,Ridley Scott,11000,13877,0,34000,8.2,302,117,27000000,28000000
Conan the Barbarian,8/12/1982,Color,Adventure,English,USA,R,William Smith,John Milius,919,2024,468,0,6.9,166,129,37567440,20000000
Diner,4/27/1982,Color,Comedy,English,USA,R,Steve Guttenberg,Barry Levinson,801,2943,272,0,7.2,42,110,14100000,5000000
E.T. the Extra-Terrestrial,10/24/1982,Color,Family,English,USA,PG,Henry Thomas,Steven Spielberg,861,2811,14000,34000,7.9,215,120,434949459,10500000
Firefox,7/7/1982,Color,Action,English,USA,PG,Clint Eastwood,Clint Eastwood,16000,16805,16000,0,5.9,43,136,46700000,21000000
Friday the 13th Part III,1/23/1982,Color,Horror,English,USA,R,Richard Brooker,Steve Miner,72,174,49,0,5.7,235,91,36200000,4000000
Halloween III: Season of the Witch,6/30/1982,Color,Horror,English,USA,R,Tom Atkins,Tommy Lee Wallace,381,684,24,0,4.6,162,98,14400000,2500000
Megaforce,3/2/1982,Color,Action,English,USA,PG,Barry Bostwick,Hal Needham,456,1356,379,0,3.5,40,99,5333658,20000000
Poltergeist,7/16/1982,Color,Fantasy,English,USA,PG,Heather O'Rourke,Tobe Hooper,887,3876,365,11000,7.4,223,120,76600000,10700000
Star Trek II: The Wrath of Khan,12/5/1982,Color,Action,English,USA,PG,Leonard Nimoy,Nicholas Meyer,12000,16539,120,0,7.7,148,116,78900000,11000000
The Best Little Whorehouse in Texas,12/2/1982,Color,Comedy,English,USA,R,Dolly Parton,Colin Higgins,1000,3688,19,0,5.8,11,114,69700000,35000000
The Thing,2/24/1982,Color,Horror,English,USA,R,Wilford Brimley,John Carpenter,957,1757,0,23000,8.2,297,109,13782838,15000000
The Verdict,2/11/1982,Color,Drama,English,USA,R,Charlotte Rampling,Sidney Lumet,844,2330,0,0,7.8,79,129,54000000,16000000
Tootsie,10/19/1982,Color,Comedy,English,USA,PG,Bill Murray,Sydney Pollack,13000,14701,521,0,7.4,94,116,177200000,22000000
Flashdance,1/1/1983,Color,Drama,English,USA,R,Michael Nouri,Adrian Lyne,225,791,213,0,6.1,51,95,94900000,4000000
Lone Wolf McQuade,7/20/1983,Color,Action,English,USA,PG,David Carradine,Steve Carver,926,2383,8,0,6.3,29,107,12200000,5000000
National Lampoon's Vacation,6/27/1983,Color,Adventure,English,USA,R,Beverly D'Angelo,Harold Ramis,816,3617,11000,0,7.4,55,98,61400000,15000000
Never Say Never Again,4/23/1983,Color,Action,English,UK,PG,Bernie Casey,Irvin Kershner,180,762,883,0,6.2,89,121,55500000,36000000
Octopussy,1/19/1983,Color,Action,English,UK,PG,Louis Jourdan,John Glen,594,1898,46,0,6.6,106,131,67900000,27500000
Scarface,3/5/1983,Color,Crime,English,USA,R,Al Pacino,Brian De Palma,14000,16464,0,19000,8.3,147,142,44700000,25000000
Star Wars: Episode VI - Return of the Jedi,12/24/1983,Color,Action,English,USA,PG,Harrison Ford,Richard Marquand,11000,13649,37,14000,8.4,197,134,309125409,32500000
Superman III,8/18/1983,Color,Action,English,UK,PG,Margot Kidder,Richard Lester,593,2329,44,0,4.9,95,125,60000000,39000000
The Outsiders,2/21/1983,Color,Crime,English,USA,PG-13,Tom Cruise,Francis Ford Coppola,10000,12097,0,10000,7.2,60,114,25600000,10000000
The Right Stuff,3/23/1983,Color,Adventure,English,USA,PG,Dennis Quaid,Philip Kaufman,2000,6341,133,0,7.9,80,193,21500000,27000000
Twilight Zone: The Movie,1/12/1983,Color,Fantasy,English,USA,PG,Albert Brooks,Joe Dante,745,1954,287,0,6.5,78,101,29500000,10000000
WarGames,6/28/1983,Color,Sci-Fi,English,USA,PG,Matthew Broderick,John Badham,2000,4537,139,0,7.1,84,114,79568000,12000000
Yentl,10/30/1983,Color,Drama,English,UK,PG,Miriam Margolyes,Barbra Streisand,405,914,0,0,6.6,16,132,30400000,12000000
A Nightmare on Elm Street,4/13/1984,Color,Horror,English,USA,X,Johnny Depp,Wes Craven,40000,42918,0,10000,7.5,256,101,26505000,1800000
A Passage to India,12/24/1984,Color,Adventure,English,UK,PG,Richard Wilson,David Lean,358,1334,767,845,7.4,52,164,26400000,16000000
Amadeus,2/19/1984,Color,Biography,English,USA,R,Jeffrey Jones,Milos Forman,692,3076,869,16000,8.3,134,180,51600000,18000000
Beverly Hills Cop,2/4/1984,Color,Action,English,USA,R,Judge Reinhold,Martin Brest,901,3464,102,0,7.3,94,105,234760500,14000000
Conan the Destroyer,6/14/1984,Color,Action,English,USA,PG,Mako,Richard Fleischer,691,2481,130,2000,5.8,77,103,26400000,18000000
Dune,9/10/1984,Color,Action,English,USA,PG-13,Virginia Madsen,David Lynch,913,2449,0,11000,6.6,144,177,27400000,40000000
Firestarter,9/20/1984,Color,Action,English,USA,R,Heather Locklear,Mark L. Lester,695,3444,73,0,6,45,114,15100000,15000000
Footloose,4/6/1984,Color,Drama,English,USA,PG,Dianne Wiest,Herbert Ross,967,1962,71,0,6.5,60,107,80000000,8200000
Friday the 13th: The Final Chapter,2/21/1984,Color,Horror,English,USA,R,Judie Aronson,Joseph Zito,158,467,17,0,5.9,166,97,32600000,1800000
Gremlins,10/25/1984,Color,Comedy,English,USA,PG,Phoebe Cates,Joe Dante,767,2053,287,14000,7.2,183,106,148170000,11000000
Indiana Jones and the Temple of Doom,10/30/1984,Color,Action,English,USA,PG,Harrison Ford,Steven Spielberg,11000,11898,14000,0,7.6,148,118,179870271,28000000
Once Upon a Time in America,9/23/1984,Color,Crime,English,Italy,R,Robert De Niro,Sergio Leone,22000,24719,0,12000,8.4,111,251,5300000,30000000
Police Academy,4/5/1984,Color,Comedy,English,USA,R,Steve Guttenberg,Hugh Wilson,801,3113,37,0,6.7,45,96,81200000,4500000
Splash,10/8/1984,Color,Comedy,English,USA,PG,Tom Hanks,Ron Howard,15000,15361,2000,0,6.2,43,111,69800000,8000000
Star Trek III: The Search for Spock,10/12/1984,Color,Action,English,USA,PG,Leonard Nimoy,Leonard Nimoy,12000,14762,12000,0,6.6,110,105,76400000,17000000
The Bounty,2/18/1984,Color,Action,English,UK,PG,Liam Neeson,Roger Donaldson,14000,28094,79,1000,7,29,132,8600000,25000000
The Cotton Club,11/20/1984,Color,Crime,English,USA,R,Nicolas Cage,Francis Ford Coppola,12000,18793,0,828,6.5,36,123,25900000,58000000
The Hotel New Hampshire,10/5/1984,Color,Comedy,English,UK,R,Joely Richardson,Tony Richardson,584,2024,62,345,6,9,109,5100000,7500000
The Karate Kid,10/17/1984,Color,Action,English,USA,PG,Martin Kove,John G. Avildsen,668,2004,80,0,7.2,81,126,90800000,8000000
The Terminator,9/7/1984,Color,Action,English,UK,R,Michael Biehn,James Cameron,2000,3582,0,13000,8.1,204,107,38400000,6500000
A Nightmare on Elm Street 2: Freddy's Revenge,3/28/1985,Color,Fantasy,English,USA,R,Clu Gulager,Jack Sholder,426,1472,28,0,5.4,138,87,30000000,2200000
A Room with a View,11/16/1985,Color,Drama,English,UK,Unrated,Julian Sands,James Ivory,687,1665,133,0,7.4,55,117,20966644,3000000
A View to a Kill,4/6/1985,Color,Action,English,UK,PG,Patrick Macnee,John Glen,1000,2943,46,0,6.3,108,131,50300000,30000000
Back to the Future,12/5/1985,Color,Adventure,English,USA,PG,Lea Thompson,Robert Zemeckis,1000,3230,0,39000,8.5,198,116,210609762,19000000
Brazil,2/17/1985,Color,Drama,English,UK,R,Robert De Niro,Terry Gilliam,22000,29475,0,16000,8,230,142,9929000,15000000
Friday the 13th: A New Beginning,7/24/1985,Color,Horror,English,USA,R,Tiffany Helm,Danny Steinmann,42,170,13,1000,4.7,160,92,21300000,2200000
Mad Max Beyond Thunderdome,11/4/1985,Color,Action,English,Australia,PG-13,Tina Turner,George Miller,794,1529,750,0,6.2,117,107,36200000,12305523
Out of Africa,11/28/1985,Color,Biography,English,USA,PG,Meryl Streep,Sydney Pollack,11000,12518,521,0,7.2,66,161,87100000,31000000
Pale Rider,1/22/1985,Color,Western,English,USA,R,Clint Eastwood,Clint Eastwood,16000,17209,16000,0,7.3,38,115,41400000,6900000
Rambo: First Blood Part II,12/6/1985,Color,Action,English,USA,R,Sylvester Stallone,George P. Cosmatos,13000,15662,170,0,6.4,96,96,150415432,44000000
Silverado,12/18/1985,Color,Action,English,USA,PG-13,Scott Glenn,Lawrence Kasdan,826,1154,759,0,7.2,46,133,33200000,26000000
The Color Purple,7/14/1985,Color,Drama,English,USA,PG-13,Oprah Winfrey,Steven Spielberg,852,2592,14000,6000,7.8,70,154,94175854,15000000
The Last Dragon,7/26/1985,Color,Action,English,USA,PG-13,Mike Starr,Michael Schultz,854,3394,78,0,6.9,55,109,33000000,10000000
Witness,1/22/1985,Color,Crime,English,USA,R,Harrison Ford,Peter Weir,11000,22479,608,0,7.4,83,112,65500000,12000000
Young Sherlock Holmes,5/18/1985,Color,Adventure,English,USA,PG-13,Nicholas Rowe,Barry Levinson,155,605,272,0,6.8,64,109,4250320,18000000
9½ Weeks,3/18/1986,Color,Drama,English,USA,R,David Margulies,Adrian Lyne,567,711,213,0,5.9,38,112,6734844,17000000
Aliens,7/26/1986,Color,Action,English,USA,R,Michael Biehn,James Cameron,2000,4228,0,18000,8.4,250,154,85200000,18500000
