State,Age,Total Population,Citizen Population,Registered Voters,Confirmed Voters
Indiana,45 to 64,1754000,1733000,1329000,1212000
Indiana,65+,840000,832000,660000,610000
Iowa,18 to 24,260000,243000,150000,121000
Iowa,25 to 34,402000,379000,276000,238000
Iowa,35 to 44,385000,358000,275000,238000
Iowa,45 to 64,828000,812000,652000,586000
Iowa,65+,444000,440000,392000,365000
Kansas,18 to 24,294000,262000,127000,88000
Kansas,25 to 34,406000,359000,236000,172000
Kansas,35 to 44,300000,269000,203000,169000
Kansas,45 to 64,757000,721000,583000,535000
Kansas,65+,363000,363000,318000,285000
Kentucky,18 to 24,446000,437000,225000,165000
Kentucky,25 to 34,513000,462000,320000,235000
Kentucky,35 to 44,547000,534000,411000,330000
Kentucky,45 to 64,1173000,1152000,879000,757000
Kentucky,65+,613000,608000,468000,408000
Louisiana,18 to 24,431000,415000,226000,174000
Louisiana,25 to 34,579000,552000,422000,369000
Louisiana,35 to 44,543000,526000,399000,340000
Louisiana,45 to 64,1199000,1184000,968000,846000
Louisiana,65+,568000,562000,483000,420000
Maine,18 to 24,118000,118000,61000,50000
Maine,25 to 34,134000,131000,93000,78000
Maine,35 to 44,157000,149000,117000,101000
Maine,45 to 64,413000,407000,329000,300000
Maine,65+,219000,215000,187000,170000
Maryland,18 to 24,585000,558000,301000,246000
Maryland,25 to 34,777000,621000,439000,393000
Maryland,35 to 44,721000,590000,434000,396000
Maryland,45 to 64,1557000,1450000,1107000,1025000
Maryland,65+,809000,787000,607000,550000
Massachusetts,18 to 24,694000,633000,395000,316000
Massachusetts,25 to 34,810000,705000,526000,450000
Massachusetts,35 to 44,888000,783000,580000,530000
Massachusetts,45 to 64,1784000,1677000,1424000,1327000
Massachusetts,65+,994000,975000,833000,759000
Michigan,18 to 24,905000,894000,536000,394000
Michigan,25 to 34,1182000,1107000,830000,629000
Michigan,35 to 44,1221000,1136000,900000,768000
Michigan,45 to 64,2676000,2611000,2141000,1906000
Michigan,65+,1512000,1480000,1214000,1134000
Minnesota,18 to 24,531000,510000,329000,303000
Minnesota,25 to 34,650000,596000,435000,384000
Minnesota,35 to 44,701000,659000,518000,478000
Minnesota,45 to 64,1410000,1387000,1151000,1081000
Minnesota,65+,762000,751000,652000,613000
Mississippi,18 to 24,300000,294000,222000,187000
Mississippi,25 to 34,397000,390000,333000,279000
Mississippi,35 to 44,320000,309000,255000,222000
Mississippi,45 to 64,734000,727000,614000,563000
Mississippi,65+,416000,410000,371000,337000
Missouri,18 to 24,525000,520000,332000,223000
Missouri,25 to 34,857000,809000,585000,448000
Missouri,35 to 44,669000,651000,498000,427000
Missouri,45 to 64,1714000,1684000,1344000,1175000
Missouri,65+,755000,745000,624000,545000
Montana,18 to 24,82000,79000,53000,33000
Montana,25 to 34,138000,137000,77000,65000
Montana,35 to 44,109000,105000,69000,62000
Montana,45 to 64,254000,249000,201000,189000
Montana,65+,186000,184000,153000,146000
Nebraska,18 to 24,168000,151000,71000,61000
Nebraska,25 to 34,242000,224000,137000,110000
Nebraska,35 to 44,235000,218000,145000,128000
Nebraska,45 to 64,462000,445000,331000,300000
Nebraska,65+,264000,259000,217000,200000
Nevada,18 to 24,320000,295000,145000,122000
Nevada,25 to 34,364000,310000,189000,158000
Nevada,35 to 44,307000,247000,158000,146000
Nevada,45 to 64,680000,606000,413000,376000
Nevada,65+,369000,350000,270000,246000
New Hampshire,18 to 24,123000,119000,71000,61000
New Hampshire,25 to 34,160000,147000,99000,91000
New Hampshire,35 to 44,150000,143000,100000,90000
New Hampshire,45 to 64,425000,414000,337000,312000
New Hampshire,65+,171000,169000,145000,134000
New Jersey,18 to 24,792000,707000,379000,276000
New Jersey,25 to 34,1068000,842000,556000,475000
New Jersey,35 to 44,1186000,939000,655000,536000
New Jersey,45 to 64,2424000,2217000,1732000,1545000
New Jersey,65+,1259000,1224000,1004000,838000
New Mexico,18 to 24,177000,163000,84000,66000
New Mexico,25 to 34,286000,248000,157000,130000
New Mexico,35 to 44,257000,224000,139000,123000
New Mexico,45 to 64,588000,551000,414000,390000
New Mexico,65+,246000,240000,185000,169000
New York,18 to 24,2028000,1790000,926000,710000
New York,25 to 34,2775000,2171000,1387000,1145000
New York,35 to 44,2334000,1871000,1288000,1133000
New York,45 to 64,5217000,4706000,3381000,3046000
New York,65+,2712000,2543000,1904000,1642000
North Carolina,18 to 24,863000,779000,496000,389000
North Carolina,25 to 34,1220000,1021000,816000,676000
North Carolina,35 to 44,1320000,1172000,919000,792000
North Carolina,45 to 64,2470000,2373000,1925000,1710000
North Carolina,65+,1390000,1366000,1138000,1057000
North Dakota,18 to 24,67000,66000,43000,32000
North Dakota,25 to 34,111000,106000,74000,62000
North Dakota,35 to 44,71000,69000,55000,44000
North Dakota,45 to 64,194000,190000,148000,129000
North Dakota,65+,85000,84000,64000,61000
Ohio,18 to 24,1145000,1105000,629000,511000
Ohio,25 to 34,1413000,1352000,917000,772000
Ohio,35 to 44,1340000,1274000,903000,772000
Ohio,45 to 64,3213000,3179000,2325000,2159000
Ohio,65+,1640000,1640000,1302000,1181000
Oklahoma,18 to 24,325000,323000,130000,88000
Oklahoma,25 to 34,567000,540000,296000,184000
Oklahoma,35 to 44,433000,418000,281000,212000
Oklahoma,45 to 64,1001000,980000,720000,602000
Oklahoma,65+,483000,473000,378000,345000
Oregon,18 to 24,391000,364000,216000,186000
Oregon,25 to 34,461000,399000,256000,215000
Oregon,35 to 44,527000,479000,345000,296000
Oregon,45 to 64,1004000,961000,756000,709000
Oregon,65+,616000,604000,513000,491000
Pennsylvania,18 to 24,1198000,1137000,645000,478000
Pennsylvania,25 to 34,1543000,1442000,984000,790000
Pennsylvania,35 to 44,1520000,1442000,1054000,928000
Pennsylvania,45 to 64,3674000,3547000,2648000,2331000
Pennsylvania,65+,1913000,1883000,1463000,1297000
Rhode Island,18 to 24,99000,89000,61000,45000
Rhode Island,25 to 34,121000,108000,70000,58000
Rhode Island,35 to 44,150000,127000,89000,76000
Rhode Island,45 to 64,290000,272000,213000,185000
Rhode Island,65+,158000,155000,119000,105000
South Carolina,18 to 24,474000,451000,265000,243000
South Carolina,25 to 34,510000,476000,364000,293000
South Carolina,35 to 44,601000,561000,405000,343000
South Carolina,45 to 64,1319000,1289000,956000,866000
South Carolina,65+,612000,604000,489000,442000
South Dakota,18 to 24,95000,94000,52000,31000
South Dakota,25 to 34,103000,101000,65000,46000
South Dakota,35 to 44,82000,79000,64000,53000
South Dakota,45 to 64,204000,202000,167000,145000
South Dakota,65+,132000,130000,106000,96000
Tennessee,18 to 24,610000,590000,306000,207000
Tennessee,25 to 34,833000,773000,517000,395000
Tennessee,35 to 44,783000,739000,514000,402000
Tennessee,45 to 64,1607000,1563000,1081000,904000
Tennessee,65+,1016000,1013000,793000,698000
Texas,18 to 24,2538000,2249000,971000,572000
Texas,25 to 34,3695000,2965000,1734000,1228000
Texas,35 to 44,3445000,2748000,1839000,1473000
Texas,45 to 64,6115000,5429000,3981000,3399000
Texas,65+,2849000,2671000,2225000,1971000
Utah,18 to 24,279000,263000,115000,97000
Utah,25 to 34,446000,407000,236000,194000
Utah,35 to 44,357000,307000,182000,161000
Utah,45 to 64,592000,576000,396000,375000
Utah,65+,242000,240000,208000,195000
Vermont,18 to 24,61000,59000,30000,23000
Vermont,25 to 34,69000,68000,41000,30000
Vermont,35 to 44,78000,76000,53000,46000
Vermont,45 to 64,195000,193000,153000,133000
Vermont,65+,93000,91000,79000,75000
Virginia,18 to 24,695000,612000,351000,292000
Virginia,25 to 34,1192000,1026000,698000,605000
Virginia,35 to 44,989000,889000,717000,634000
Virginia,45 to 64,2140000,2050000,1591000,1473000
Virginia,65+,1079000,1069000,853000,774000
Washington,18 to 24,563000,511000,275000,215000
Washington,25 to 34,1017000,911000,596000,488000
Washington,35 to 44,916000,809000,649000,577000
Washington,45 to 64,1660000,1570000,1183000,1101000
Washington,65+,1074000,1032000,830000,791000
West Virginia,18 to 24,163000,162000,78000,37000
West Virginia,25 to 34,213000,210000,131000,66000
West Virginia,35 to 44,237000,237000,162000,111000
West Virginia,45 to 64,479000,475000,326000,253000
West Virginia,65+,361000,359000,286000,222000
Wisconsin,18 to 24,539000,513000,308000,287000
Wisconsin,25 to 34,699000,662000,475000,438000
Wisconsin,35 to 44,714000,695000,548000,514000
Wisconsin,45 to 64,1552000,1532000,1224000,1192000
Wisconsin,65+,847000,845000,763000,697000
Wyoming,18 to 24,56000,55000,21000,18000
Wyoming,25 to 34,73000,71000,44000,39000
Wyoming,35 to 44,68000,66000,41000,36000
Wyoming,45 to 64,155000,154000,101000,95000
Wyoming,65+,74000,73000,61000,59000
